@RELATION BIC.txt
@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE 11 NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE 13 NUMERIC
@ATTRIBUTE 14 NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE 16 NUMERIC
@ATTRIBUTE 17 NUMERIC
@ATTRIBUTE 18 NUMERIC
@ATTRIBUTE 19 NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE 21 NUMERIC
@ATTRIBUTE 22 NUMERIC
@ATTRIBUTE 23 NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE 26 NUMERIC
@ATTRIBUTE 27 NUMERIC
@ATTRIBUTE 28 NUMERIC
@ATTRIBUTE 29 NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE 31 NUMERIC
@ATTRIBUTE 32 NUMERIC
@ATTRIBUTE 33 NUMERIC
@ATTRIBUTE 34 NUMERIC
@ATTRIBUTE 35 NUMERIC
@ATTRIBUTE 36 NUMERIC
@ATTRIBUTE 37 NUMERIC
@ATTRIBUTE 38 NUMERIC
@ATTRIBUTE 39 NUMERIC
@ATTRIBUTE 40 NUMERIC
@ATTRIBUTE 41 NUMERIC
@ATTRIBUTE 42 NUMERIC
@ATTRIBUTE 43 NUMERIC
@ATTRIBUTE 44 NUMERIC
@ATTRIBUTE 45 NUMERIC
@ATTRIBUTE 46 NUMERIC
@ATTRIBUTE 47 NUMERIC
@ATTRIBUTE 48 NUMERIC
@ATTRIBUTE 49 NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE 51 NUMERIC
@ATTRIBUTE 52 NUMERIC
@ATTRIBUTE 53 NUMERIC
@ATTRIBUTE 54 NUMERIC
@ATTRIBUTE 55 NUMERIC
@ATTRIBUTE 56 NUMERIC
@ATTRIBUTE 57 NUMERIC
@ATTRIBUTE 58 NUMERIC
@ATTRIBUTE 59 NUMERIC
@ATTRIBUTE 60 NUMERIC
@ATTRIBUTE 61 NUMERIC
@ATTRIBUTE 62 NUMERIC
@ATTRIBUTE 63 NUMERIC
@ATTRIBUTE 64 NUMERIC
@ATTRIBUTE 65 NUMERIC
@ATTRIBUTE 66 NUMERIC
@ATTRIBUTE 67 NUMERIC
@ATTRIBUTE 68 NUMERIC
@ATTRIBUTE 69 NUMERIC
@ATTRIBUTE 70 NUMERIC
@ATTRIBUTE 71 NUMERIC
@ATTRIBUTE 72 NUMERIC
@ATTRIBUTE 73 NUMERIC
@ATTRIBUTE 74 NUMERIC
@ATTRIBUTE 75 NUMERIC
@ATTRIBUTE 76 NUMERIC
@ATTRIBUTE 77 NUMERIC
@ATTRIBUTE 78 NUMERIC
@ATTRIBUTE 79 NUMERIC
@ATTRIBUTE 80 NUMERIC
@ATTRIBUTE 81 NUMERIC
@ATTRIBUTE 82 NUMERIC
@ATTRIBUTE 83 NUMERIC
@ATTRIBUTE 84 NUMERIC
@ATTRIBUTE 85 NUMERIC
@ATTRIBUTE 86 NUMERIC
@ATTRIBUTE 87 NUMERIC
@ATTRIBUTE 88 NUMERIC
@ATTRIBUTE 89 NUMERIC
@ATTRIBUTE 90 NUMERIC
@ATTRIBUTE 91 NUMERIC
@ATTRIBUTE 92 NUMERIC
@ATTRIBUTE 93 NUMERIC
@ATTRIBUTE 94 NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE 96 NUMERIC
@ATTRIBUTE 97 NUMERIC
@ATTRIBUTE 98 NUMERIC
@ATTRIBUTE 99 NUMERIC
@ATTRIBUTE 100 NUMERIC
@ATTRIBUTE 101 NUMERIC
@ATTRIBUTE 102 NUMERIC
@ATTRIBUTE 103 NUMERIC
@ATTRIBUTE 104 NUMERIC
@ATTRIBUTE 105 NUMERIC
@ATTRIBUTE 106 NUMERIC
@ATTRIBUTE 107 NUMERIC
@ATTRIBUTE 108 NUMERIC
@ATTRIBUTE 109 NUMERIC
@ATTRIBUTE 110 NUMERIC
@ATTRIBUTE 111 NUMERIC
@ATTRIBUTE 112 NUMERIC
@ATTRIBUTE 113 NUMERIC
@ATTRIBUTE 114 NUMERIC
@ATTRIBUTE 115 NUMERIC
@ATTRIBUTE 116 NUMERIC
@ATTRIBUTE 117 NUMERIC
@ATTRIBUTE 118 NUMERIC
@ATTRIBUTE 119 NUMERIC
@ATTRIBUTE 120 NUMERIC
@ATTRIBUTE 121 NUMERIC
@ATTRIBUTE 122 NUMERIC
@ATTRIBUTE 123 NUMERIC
@ATTRIBUTE 124 NUMERIC
@ATTRIBUTE 125 NUMERIC
@ATTRIBUTE 126 NUMERIC
@ATTRIBUTE 127 NUMERIC
@ATTRIBUTE class {2,1,9,0,6,5,4,3,8,7,10,11}
@DATA
65446,46068,186,0,0,1346,2039,0,0,0,0,0,0,0,0,0,0,67,0,0,0,10806,148818,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2071,12371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4963,7757,814,0,0,4045,3201,0,0,0,0,0,0,0,0,0,0,614,11,0,0,5837,8253,19,0,0,1405,59,0,0,0,0,0,0,0,0,0,0,244,7,0,0,3533,3151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97621,56291,12373,0,0,769,1873,0,0,0,0,0,0,0,0,0,0,5,0,0,0,21250,128130,0,0,0,923,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,8940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5281,7512,4507,0,0,3429,3818,0,0,0,0,0,0,0,0,0,0,168,56,0,0,5612,9234,55,0,0,3108,267,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3630,3401,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
87586,57663,3017,0,0,3455,8277,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10529,150037,0,0,0,6544,41,0,0,0,0,0,0,0,0,0,0,13,0,0,0,199,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5067,6378,1507,0,0,5057,5971,0,0,0,0,0,0,0,0,0,0,149,0,0,0,4612,8624,8,0,0,3396,259,0,0,0,0,0,0,0,0,0,0,40,0,0,0,774,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76372,57580,40087,0,0,5199,30719,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6813,118538,2,0,0,2666,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2249,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5195,7083,5090,0,0,5267,12022,0,0,0,0,0,0,0,0,0,0,224,42,0,0,3825,10112,134,0,0,2795,600,0,0,0,0,0,0,0,0,0,0,20,3,0,0,1031,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73668,66645,2396,0,0,1689,1582,0,0,0,0,0,0,0,0,0,0,49,0,0,0,14842,111353,0,0,0,955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6063,6345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4823,9915,1702,0,0,6377,3428,0,0,0,0,0,0,0,0,0,0,759,56,0,0,8160,8910,0,0,0,2759,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4187,2149,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
86592,103998,10365,0,0,326,9718,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2917,87374,0,0,0,2090,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171,4735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5277,8492,6757,0,0,1936,9360,0,0,0,0,0,0,0,0,0,0,213,23,0,0,3096,9878,22,0,0,3526,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3617,2658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80953,88992,34972,0,0,515,8210,0,0,0,0,0,0,0,0,0,0,568,12,0,0,8182,99286,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5206,10036,9477,0,0,2548,9716,0,0,0,0,0,0,0,0,0,0,1891,274,0,0,3766,7499,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,454,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93961,67100,4021,0,0,1025,8142,0,0,0,0,0,0,0,0,0,0,21,0,0,0,10890,136162,0,0,0,3602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5278,7515,2942,0,0,2975,5821,0,0,0,0,0,0,0,0,0,0,417,20,0,0,3942,7037,0,0,0,2278,16,0,0,0,0,0,0,0,0,0,0,3,0,0,0,320,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84088,73029,12629,0,0,809,3440,0,0,0,0,0,0,0,0,0,0,36,0,0,0,7962,108757,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3641,3171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5108,12145,6539,0,0,4169,6386,0,0,0,0,0,0,0,0,0,0,642,70,0,0,5059,9862,14,0,0,1162,6,0,0,0,0,0,0,0,0,0,0,321,5,0,0,3263,1559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139843,46617,2494,0,0,1599,1752,0,0,0,0,0,0,0,0,0,0,97,0,0,0,14159,159885,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6088,5301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5606,10980,1345,0,0,6789,3626,0,0,0,0,0,0,0,0,0,0,1081,11,0,0,10170,11676,2,0,0,3514,6,0,0,0,0,0,0,0,0,0,0,111,0,0,0,4681,2314,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0
90171,56077,3156,0,0,787,1539,0,0,0,0,0,0,0,0,0,0,83,0,0,0,16485,137757,0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1889,6640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5194,9453,2053,0,0,4097,4091,0,0,0,0,0,0,0,0,0,0,1202,26,0,0,7045,8765,4,0,0,1882,4,0,0,0,0,0,0,0,0,0,0,46,0,0,0,3010,2345,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
92031,38404,1896,0,0,2493,5076,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13583,174187,0,0,0,1532,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,21173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5526,8601,1040,0,0,7855,4543,0,0,0,0,0,0,0,0,0,0,127,1,0,0,8009,10596,50,0,0,2970,736,0,0,0,0,0,0,0,0,0,0,55,0,0,0,2187,2216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85133,54014,141,0,0,1305,985,0,0,0,0,0,0,0,0,0,0,19,0,0,0,18973,128275,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5755,8278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5121,6360,325,0,0,4520,1449,0,0,0,0,0,0,0,0,0,0,461,0,0,0,6702,5540,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,2645,1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72732,38501,7547,0,0,1946,3311,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24291,162985,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5984,14728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5255,7158,1477,0,0,5682,4437,0,0,0,0,0,0,0,0,0,0,166,13,0,0,7483,9998,15,0,0,1994,30,0,0,0,0,0,0,0,0,0,0,147,1,0,0,4788,3740,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
